,ID,Platform,Project Name,Project ID,Version Number,Version ID,Dependency Name,Dependency Platform,Dependency Kind,Optional Dependency,Dependency Requirements,Dependency Project ID
0,8737,Dub,a4g,197,0.1.0,2,a4g:client,Dub,runtime,False,*,
1,8738,Dub,a4g,197,0.1.0,2,a4g:server,Dub,runtime,False,*,
2,8743,Dub,ae,199,1.0.0,6,openssl,Dub,runtime,False,>=1.1.3+1.0.1g,493.0
3,8744,Dub,ae,199,1.0.1,7,openssl,Dub,runtime,True,>=1.1.3+1.0.1g,493.0
4,8752,Dub,anchovy,203,0.2.4,21,anchovy:core,Dub,runtime,False,~master,
5,8753,Dub,anchovy,203,0.2.4,21,anchovy:graphics,Dub,runtime,False,~master,
6,8754,Dub,anchovy,203,0.2.4,21,anchovy:gui,Dub,runtime,False,~master,
7,8755,Dub,anchovy,203,0.2.4,21,anchovy:utils,Dub,runtime,False,~master,
8,8756,Dub,anchovy,203,0.3.0,22,anchovy:core,Dub,runtime,False,~master,
9,8757,Dub,anchovy,203,0.3.0,22,anchovy:graphics,Dub,runtime,False,~master,
10,8758,Dub,anchovy,203,0.3.0,22,anchovy:gui,Dub,runtime,False,~master,
11,8759,Dub,anchovy,203,0.3.0,22,anchovy:utils,Dub,runtime,False,~master,
12,8760,Dub,anchovy,203,0.4.0,23,anchovy:core,Dub,runtime,False,~master,
13,8761,Dub,anchovy,203,0.4.0,23,anchovy:graphics,Dub,runtime,False,~master,
14,8762,Dub,anchovy,203,0.4.0,23,anchovy:gui,Dub,runtime,False,~master,
15,8763,Dub,anchovy,203,0.4.0,23,anchovy:utils,Dub,runtime,False,~master,
16,8764,Dub,anchovy,203,0.5.0,24,anchovy:core,Dub,runtime,False,~master,
17,8765,Dub,anchovy,203,0.5.0,24,anchovy:graphics,Dub,runtime,False,~master,
18,8766,Dub,anchovy,203,0.5.0,24,anchovy:gui,Dub,runtime,False,~master,
19,8767,Dub,anchovy,203,0.5.0,24,anchovy:utils,Dub,runtime,False,~master,
20,8768,Dub,anchovy,203,0.6.0,25,anchovy:core,Dub,runtime,False,~master,
21,8769,Dub,anchovy,203,0.6.0,25,anchovy:graphics,Dub,runtime,False,~master,
22,8770,Dub,anchovy,203,0.6.0,25,anchovy:gui,Dub,runtime,False,~master,
23,8771,Dub,anchovy,203,0.6.0,25,anchovy:utils,Dub,runtime,False,~master,
24,8772,Dub,anchovy,203,0.6.1,26,derelict-ft,Dub,runtime,False,~master,288.0
25,8773,Dub,anchovy,203,0.6.1,26,dlib,Dub,runtime,False,==0.3.1,346.0
26,8774,Dub,anchovy,203,0.6.1,26,derelict-fi,Dub,runtime,False,~master,287.0
27,8775,Dub,anchovy,203,0.6.1,26,derelict-glfw3,Dub,runtime,False,==1.0.0,290.0
28,8776,Dub,anchovy,203,0.6.1,26,derelict-sdl2,Dub,runtime,False,==1.2.0,297.0
29,8777,Dub,anchovy,203,0.6.1,26,sdlang-d,Dub,runtime,False,0.8.4,523.0
30,8778,Dub,anchovy,203,0.6.1,26,derelict-gl3,Dub,runtime,False,==1.0.0,289.0
31,8779,Dub,anchovy,203,0.6.2,27,derelict-ft,Dub,runtime,False,~master,288.0
32,8780,Dub,anchovy,203,0.6.2,27,dlib,Dub,runtime,False,==0.3.1,346.0
33,8781,Dub,anchovy,203,0.6.2,27,derelict-fi,Dub,runtime,False,~master,287.0
34,8782,Dub,anchovy,203,0.6.2,27,derelict-glfw3,Dub,runtime,False,==1.0.0,290.0
35,8785,Dub,anchovy,203,0.6.2,27,derelict-gl3,Dub,runtime,False,==1.0.0,289.0
36,8784,Dub,anchovy,203,0.6.2,27,sdlang-d,Dub,runtime,False,0.8.4,523.0
37,8783,Dub,anchovy,203,0.6.2,27,derelict-sdl2,Dub,runtime,False,==1.2.0,297.0
38,8786,Dub,anchovy,203,0.7.0,28,derelict-ft,Dub,runtime,False,>=1.0.0,288.0
39,8787,Dub,anchovy,203,0.7.0,28,dlib,Dub,runtime,False,>=0.3.3,346.0
40,8788,Dub,anchovy,203,0.7.0,28,derelict-fi,Dub,runtime,False,>=1.0.0,287.0
41,8789,Dub,anchovy,203,0.7.0,28,derelict-glfw3,Dub,runtime,False,>=1.0.0,290.0
42,8791,Dub,anchovy,203,0.7.0,28,sdlang-d,Dub,runtime,False,>=0.8.4,523.0
43,8792,Dub,anchovy,203,0.7.0,28,derelict-gl3,Dub,runtime,False,>=1.0.0,289.0
44,8790,Dub,anchovy,203,0.7.0,28,derelict-sdl2,Dub,runtime,False,>=1.2.0,297.0
45,8794,Dub,anchovy,203,0.7.1,29,dlib,Dub,runtime,False,>=0.3.3,346.0
46,8793,Dub,anchovy,203,0.7.1,29,derelict-ft,Dub,runtime,False,>=1.0.0,288.0
47,8795,Dub,anchovy,203,0.7.1,29,derelict-fi,Dub,runtime,False,>=1.0.0,287.0
48,8796,Dub,anchovy,203,0.7.1,29,derelict-glfw3,Dub,runtime,False,>=1.0.0,290.0
49,8797,Dub,anchovy,203,0.7.1,29,derelict-sdl2,Dub,runtime,False,>=1.2.0,297.0
50,8798,Dub,anchovy,203,0.7.1,29,sdlang-d,Dub,runtime,False,>=0.8.4,523.0
51,8799,Dub,anchovy,203,0.7.1,29,derelict-gl3,Dub,runtime,False,>=1.0.0,289.0
52,8546823,Dub,anchovy,203,0.8.0,3350458,derelict-ft,Dub,runtime,False,>=1.0.2,288.0
53,8546824,Dub,anchovy,203,0.8.0,3350458,dlib,Dub,runtime,False,>=0.6.1,346.0
54,8546825,Dub,anchovy,203,0.8.0,3350458,derelict-fi,Dub,runtime,False,==2.0.1,287.0
55,8546826,Dub,anchovy,203,0.8.0,3350458,derelict-glfw3,Dub,runtime,False,>=1.1.0,290.0
56,8546827,Dub,anchovy,203,0.8.0,3350458,sdlang-d,Dub,runtime,False,>=0.9.1,523.0
57,8546828,Dub,anchovy,203,0.8.0,3350458,derelict-gl3,Dub,runtime,False,>=1.0.14,289.0
58,9760155,Dub,anchovy,203,0.8.1,3779698,derelict-ft,Dub,runtime,False,>=1.0.2,288.0
59,9760156,Dub,anchovy,203,0.8.1,3779698,dlib,Dub,runtime,False,>=0.6.1,346.0
60,9760157,Dub,anchovy,203,0.8.1,3779698,derelict-fi,Dub,runtime,False,2.0.1,287.0
61,9760158,Dub,anchovy,203,0.8.1,3779698,derelict-glfw3,Dub,runtime,False,>=1.1.0,290.0
62,9760159,Dub,anchovy,203,0.8.1,3779698,sdlang-d,Dub,runtime,False,>=0.9.1,523.0
63,9760160,Dub,anchovy,203,0.8.1,3779698,derelict-gl3,Dub,runtime,False,>=1.0.14,289.0
64,11998980,Dub,anchovy,203,0.8.2,4303735,derelict-ft,Dub,runtime,False,>=1.0.2,288.0
65,11998981,Dub,anchovy,203,0.8.2,4303735,dlib,Dub,runtime,False,>=0.6.1,346.0
66,11998982,Dub,anchovy,203,0.8.2,4303735,derelict-fi,Dub,runtime,False,2.0.1,287.0
67,11998983,Dub,anchovy,203,0.8.2,4303735,derelict-glfw3,Dub,runtime,False,>=1.1.0,290.0
68,11998984,Dub,anchovy,203,0.8.2,4303735,sdlang-d,Dub,runtime,False,>=0.9.1,523.0
69,11998985,Dub,anchovy,203,0.8.2,4303735,derelict-gl3,Dub,runtime,False,>=1.0.14,289.0
70,13295773,Dub,anchovy,203,0.8.3,4520756,derelict-ft,Dub,runtime,False,1.0.2,288.0
71,13295774,Dub,anchovy,203,0.8.3,4520756,dlib,Dub,runtime,False,0.7.1,346.0
72,13295775,Dub,anchovy,203,0.8.3,4520756,derelict-fi,Dub,runtime,False,2.0.2,287.0
73,13295776,Dub,anchovy,203,0.8.3,4520756,derelict-glfw3,Dub,runtime,False,1.1.0,290.0
74,13295777,Dub,anchovy,203,0.8.3,4520756,sdlang-d,Dub,runtime,False,0.9.3,523.0
75,13295778,Dub,anchovy,203,0.8.3,4520756,derelict-gl3,Dub,runtime,False,1.0.17,289.0
76,8801,Dub,antispam,205,0.0.1,34,vibe-d,Dub,runtime,False,~master,579.0
77,8802,Dub,antispam,205,0.0.2,35,vibe-d,Dub,runtime,False,~master,579.0
78,8803,Dub,antispam,205,0.0.3,36,vibe-d,Dub,runtime,False,~>0.7.17,579.0
79,8804,Dub,antispam,205,0.0.4,37,vibe-d,Dub,runtime,False,~>0.7.17,579.0
80,8805,Dub,antispam,205,0.0.5,38,vibe-d,Dub,runtime,False,~>0.7.21-alpha.1,579.0
81,22059426,Dub,antispam,205,0.0.6,6195566,vibe-d,Dub,runtime,False,~>0.7.21,579.0
82,38409380,Dub,antispam,205,0.0.7,8141718,vibe-d,Dub,runtime,False,>=0.7.28 <0.9.0,579.0
83,38409382,Dub,antispam,205,0.0.8,8141719,vibe-d,Dub,runtime,False,>=0.7.28 <0.9.0,579.0
84,40938062,Dub,antispam,205,0.0.9,8417832,vibe-d,Dub,runtime,False,>=0.7.28 <0.9.0,579.0
85,41988031,Dub,antispam,205,0.1.0,8514154,vibe-d:http,Dub,runtime,False,>=0.7.30 <0.9.0,
86,42182087,Dub,antispam,205,0.1.1,8541707,vibe-d:http,Dub,runtime,False,>=0.7.30 <0.9.0,
87,42182088,Dub,antispam,205,0.1.2,8541712,vibe-d:http,Dub,runtime,False,>=0.7.30 <0.9.0,
88,57813175,Dub,antispam,205,0.1.3,10262926,vibe-d:http,Dub,runtime,False,>=0.7.30 <0.9.0,
89,73162806,Dub,antispam,205,0.1.4,12347453,vibe-d:http,Dub,runtime,False,>=0.7.30 <0.9.0,
90,8871,Dub,atmosphere_gm,210,0.0.0,48,simple_matrix,Dub,runtime,False,>=0.3.0,529.0
91,8872,Dub,atmosphere_gm,210,0.0.0,48,cblas,Dub,runtime,False,>=0.0.4,227.0
92,8873,Dub,atmosphere_gm,210,0.0.1,49,simple_matrix,Dub,runtime,False,>=0.3.0,529.0
