,ID,Host Type,Repository Name with Owner,Repository ID,Manifest Platform,Manifest Filepath,Git branch,Manifest kind,Optional,Dependency Project Name,Dependency Requirements,Dependency Kind,Dependency Project ID
0,48593228,GitHub,brianmhunt/knockout-modal,1,Bower,bower.json,,manifest,,pure,~0.5.0,development,20549.0
1,48593223,GitHub,brianmhunt/knockout-modal,1,Bower,bower.json,,manifest,,jquery,~2.1.1,development,13777.0
2,48593218,GitHub,brianmhunt/knockout-modal,1,Bower,bower.json,,manifest,,knockout,~3.2.0,development,15957.0
3,48593282,GitHub,brianmhunt/knockout-modal,1,NPM,package.json,,manifest,,gulp-tag-version,^1.1.0,development,155782.0
4,48593278,GitHub,brianmhunt/knockout-modal,1,NPM,package.json,,manifest,,gulp-load-plugins,^0.6.0,development,155305.0
5,48593273,GitHub,brianmhunt/knockout-modal,1,NPM,package.json,,manifest,,gulp-livereload,^2.1.1,development,155298.0
6,48593267,GitHub,brianmhunt/knockout-modal,1,NPM,package.json,,manifest,,gulp-less,^1.3.5,development,155282.0
7,48593261,GitHub,brianmhunt/knockout-modal,1,NPM,package.json,,manifest,,gulp-git,^0.5.0,development,288071.0
8,48593255,GitHub,brianmhunt/knockout-modal,1,NPM,package.json,,manifest,,gulp-filter,^1.0.2,development,154980.0
9,48593249,GitHub,brianmhunt/knockout-modal,1,NPM,package.json,,manifest,,gulp-connect,^2.0.6,development,154815.0
10,48593245,GitHub,brianmhunt/knockout-modal,1,NPM,package.json,,manifest,,gulp-bump,^0.1.11,development,287978.0
11,48593241,GitHub,brianmhunt/knockout-modal,1,NPM,package.json,,manifest,,gulp-autoprefixer,^1.0.0,development,154595.0
12,48593236,GitHub,brianmhunt/knockout-modal,1,NPM,package.json,,manifest,,gulp,^3.8.8,development,287937.0
13,86257737,GitHub,SteveSanderson/knockout.mapping,2,NuGet,Package.nuspec,,manifest,,knockoutjs,2.0.0,runtime,617447.0
14,49749272,GitHub,azman-co/knockout-model,3,Bower,bower.json,,manifest,,qunit,latest,runtime,165253.0
15,49749271,GitHub,azman-co/knockout-model,3,Bower,bower.json,,manifest,,knockout,~3.2.0,runtime,15957.0
16,49749278,GitHub,azman-co/knockout-model,3,NPM,package.json,,manifest,,grunt-contrib-uglify,0.5.0,development,284988.0
17,49749277,GitHub,azman-co/knockout-model,3,NPM,package.json,,manifest,,grunt-contrib-qunit,0.5.2,development,284972.0
18,49749276,GitHub,azman-co/knockout-model,3,NPM,package.json,,manifest,,grunt-contrib-jshint,0.10.0,development,284949.0
19,49749275,GitHub,azman-co/knockout-model,3,NPM,package.json,,manifest,,grunt-contrib-connect,0.8.0,development,284922.0
20,49749274,GitHub,azman-co/knockout-model,3,NPM,package.json,,manifest,,grunt-contrib-concat,0.4.0,development,284920.0
21,49749273,GitHub,azman-co/knockout-model,3,NPM,package.json,,manifest,,grunt,0.4.5,development,284257.0
22,48704591,GitHub,zonuexe/aozora-ruby-parser.js,4,NPM,package.json,,manifest,,mocha,*,development,295363.0
23,44710783,GitHub,immense/knockout-pickatime,5,NPM,package.json,,manifest,,grunt-contrib-coffee,*,development,284913.0
24,44710781,GitHub,immense/knockout-pickatime,5,NPM,package.json,,manifest,,grunt-contrib-uglify,*,development,284988.0
25,44710777,GitHub,immense/knockout-pickatime,5,NPM,package.json,,manifest,,grunt,*,development,284257.0
26,44710782,GitHub,immense/knockout-pickadate,6,NPM,package.json,,manifest,,grunt-contrib-coffee,*,development,284913.0
27,44710780,GitHub,immense/knockout-pickadate,6,NPM,package.json,,manifest,,grunt-contrib-uglify,*,development,284988.0
28,44710776,GitHub,immense/knockout-pickadate,6,NPM,package.json,,manifest,,grunt,*,development,284257.0
29,44710787,GitHub,civicsource/knockout.pinpoint,7,Bower,bower.json,,manifest,,jquery,~2.1.1,runtime,13777.0
30,44710784,GitHub,civicsource/knockout.pinpoint,7,Bower,bower.json,,manifest,,knockout,~3.2.0,runtime,15957.0
31,49893565,GitHub,spoike/bower-knockout.persist,8,Bower,bower.json,,manifest,,knockout,knockout.js,runtime,15957.0
32,17863808,GitHub,h5bp/server-configs-apache,9,NPM,package.json,,manifest,,@alrra/travis-scripts,^1.1.1,development,1377414.0
33,17863809,GitHub,h5bp/server-configs-apache,9,NPM,package.json,,manifest,,mocha,^2.1.0,development,295363.0
34,213135916,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,shebang-command,1.2.0,runtime,1109666.0
35,213135902,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,semver,5.4.1,runtime,311796.0
36,213135882,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,safe-buffer,5.1.1,runtime,1149762.0
37,213135852,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,rx-lite-aggregates,4.0.8,runtime,752864.0
38,213135839,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,rx-lite,4.0.8,runtime,705251.0
39,213135818,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,run-async,2.3.0,runtime,309580.0
40,213135797,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,rimraf,2.6.2,runtime,308529.0
41,213135775,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,restore-cursor,2.0.0,runtime,307906.0
42,213135761,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,resolve-from,1.0.1,runtime,307476.0
43,213135730,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,require-uncached,1.0.3,runtime,307294.0
44,213135709,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,readable-stream,2.3.3,runtime,305591.0
45,213135687,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,pseudomap,1.0.2,runtime,1103136.0
46,213135657,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,progress,2.0.0,runtime,302182.0
47,213135638,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,process-nextick-args,1.0.7,runtime,796301.0
48,213135614,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,prelude-ls,1.1.2,runtime,302017.0
49,213135593,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,pluralize,7.0.0,runtime,181547.0
50,213135573,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,pinkie-promise,2.0.1,runtime,787512.0
51,213135553,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,pinkie,2.0.4,runtime,783924.0
52,213135531,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,pify,2.3.0,runtime,947658.0
53,213135514,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,path-is-inside,1.0.2,runtime,180159.0
54,213135493,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,path-is-absolute,1.0.1,runtime,605588.0
55,213135472,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,os-tmpdir,1.0.2,runtime,781837.0
56,213135454,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,optionator,0.8.2,runtime,299872.0
57,213135427,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,onetime,2.0.1,runtime,178448.0
58,213135407,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,once,1.4.0,runtime,178407.0
59,213135386,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,object-assign,4.1.1,runtime,177932.0
60,213135362,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,natural-compare,1.4.0,runtime,173432.0
61,213135334,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,mute-stream,0.0.7,runtime,172931.0
62,213135320,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,ms,2.0.0,runtime,296222.0
63,213135295,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,mocha,4.0.1,runtime,295363.0
64,213135273,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,mkdirp,0.5.1,runtime,170942.0
65,213135253,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,minimist,0.0.8,runtime,170706.0
66,213135228,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,minimatch,3.0.4,runtime,170700.0
67,213135208,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,mimic-fn,1.1.0,runtime,1751616.0
68,213135187,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,lru-cache,4.1.1,runtime,167860.0
69,213135167,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,lodash,4.17.4,runtime,167115.0
70,213135146,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,levn,0.3.0,runtime,293275.0
71,213135122,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,jsonify,0.0.0,runtime,162645.0
72,213135093,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,json-stable-stringify,1.0.1,runtime,162519.0
73,213135077,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,json-schema-traverse,0.3.1,runtime,2311236.0
74,213135055,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,jschardet,1.6.0,runtime,291606.0
75,213135031,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,js-yaml,3.10.0,runtime,162077.0
76,213135019,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,js-tokens,3.0.2,runtime,162065.0
77,213134993,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,isexe,2.0.0,runtime,1154376.0
78,213134967,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,isarray,1.0.0,runtime,160694.0
79,213134943,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,is-resolvable,1.0.0,runtime,927541.0
80,213134914,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,is-promise,2.1.0,runtime,160613.0
81,213134892,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,is-path-inside,1.0.0,runtime,160598.0
82,213134867,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,is-path-in-cwd,1.0.0,runtime,160597.0
83,213134848,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,is-path-cwd,1.0.0,runtime,160595.0
84,213134822,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,is-fullwidth-code-point,2.0.0,runtime,897326.0
85,213134804,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,inquirer,3.3.0,runtime,159991.0
86,213134783,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,inherits,2.0.3,runtime,159870.0
87,213134759,GitHub,h5bp/server-configs-apache,9,npm,package-lock.json,,lockfile,,inflight,1.0.6,runtime,159823.0
